OID_,Join_Count,TARGET_FID,gridcode,rca_id,uRCA,uRCA_int,Join_Count_1,TARGET_FID_1,TNMID,MetaSource,SourceData,SourceOrig,SourceFeat,LoadDate,GNIS_ID,AreaAcres,AreaSqKm,States,HUC12,Name,HUType,HUMod,ToHUC,NonContrib,NonContr_1,Shape_Leng,Surveyed,RECORDNUMB,ACRES,AFSNUMBER,DOFNUMBER,USFSNUMBER,ADDNUMBER,PERIMETERD,LATESTPERI,SOURCE,SOURCEMETH,SOURCECLAS,AGENCYACRE,ACREAGEMET,COMMENTS,FIREID,FIREYEAR,UPDATETIME,UPDATEUSER,USEDONFINA,FPOUTDATE,FPMERGEDDA,IRWINID,PRESCRIBED,FIRESEASON,Year,Years,Shape_Le_1,Z_Mean,Avg_Slope,Shape_Le_2,Shape_Area_1,Shape_Length,Shape_Area
11,,,11,11.000000000000000,11,11,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8933.403401822990418,3103937.518696981016546
12,,,12,12.000000000000000,12,12,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16660.174697388298227,9275128.030663877725601
13,,,13,13.000000000000000,13,13,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20388.014743947467650,15293769.305794749408960
14,,,14,14.000000000000000,14,14,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2879.817108172461758,266667.120763147831894
15,,,15,15.000000000000000,15,15,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6997.656268934691980,2154212.282094604801387
16,,,16,16.000000000000000,16,16,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9946.775227977923350,3234254.069823390338570
17,,,17,17.000000000000000,17,17,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6962.490593013576472,1726389.728867670986801
18,,,18,18.000000000000000,18,18,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7808.147682912033815,3288511.381521359551698
19,1,176,19,19.000000000000000,19,19,1,19,{74912BBA-B9BA-4A07-96B4-41B8B9750C28},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,10717.690000000000509,43.369999999999997,AK,190803031808,Volkmar Lake,S,NM,190803031809,0.000000000000000,0.000000000000000,31587.831357700000808,1, ,386.740000000000009,B489,312489,P00489,410,11/14/1993 0:00:00,Yes,Image Interpretation, , ,0.000000000000000, ,Fire perimeter modified using Landsat Image Service.,22384,1993,3/14/2019 0:00:00,jljenkins, ,7/17/1993 0:00:00,, ,N,1990 - 1999,1993.000000000000000,1990.000000000000000,6028.324797590000344,409.812520043000006,17.837160333000000,31587.831357700000808,43372846.055100001394749,12375.357625491204089,5842321.852655820548534
20,,,20,20.000000000000000,20,20,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7115.998255647045880,3214535.471740749664605
21,,,21,21.000000000000000,21,21,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9286.216317157151934,4394942.110051226802170
22,,,22,22.000000000000000,22,22,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9183.169038242558599,3544467.311075532808900
23,,,23,23.000000000000000,23,23,0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9224.521468022774570,4395290.341606201604009
24,,,24,24.000000000000000,24,24,0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10865.705372114976853,4675870.199973073787987
25,,,25,25.000000000000000,25,25,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8349.245412200145438,3413459.393825192004442
26,,,26,26.000000000000000,26,26,0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.854587652607137,17.098484606781092
27,,,26,26.000000000000000,26,26,0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9361.183023589763252,4444662.602824966423213
28,,,27,27.000000000000000,27,27,0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6358.610384263511150,2321605.506891359109432
29,,,28,28.000000000000000,28,28,0,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13576.616055011754725,6441730.866587991826236
30,,,29,29.000000000000000,29,29,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6531.388891471218813,1465117.031844898127019
31,,,30,30.000000000000000,30,30,0,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.841693058748831,787.719499962331611
32,,,31,31.000000000000000,31,31,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3406.340802740080562,512739.835931339941453
33,3,146,32,32.000000000000000,32,32,1,33,{6FCF2977-8700-4085-8AA5-F6B2CB78FD19},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,14288.090000000000146,57.820000000000000,AK,190803031706,190803031706-South Fork Goodpaster River,S,NM,190803031708,0.000000000000000,0.000000000000000,31113.282034500000009,1,207,58078.949999999997090,F38A,112207,PNF38A, ,6/10/2011 0:00:00,Yes,GPS,Helicopter, ,0.000000000000000, ,None Recorded,34868,2011,6/10/2011 0:00:00,DNR Delta,No,8/10/2011 0:00:00,, ,N,2010 - 2019,2011.000000000000000,2010.000000000000000,126404.151492000004509,659.316947449000054,26.879279210499998,31113.282034500000009,57821831.914599999785423,13587.032502798490896,8485037.186434675008059
34,,,33,33.000000000000000,33,33,0,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7377.542138918985984,2777719.858138220384717
35,,,34,34.000000000000000,34,34,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4068.896096356649650,713375.743292685481720
36,,,35,35.000000000000000,35,35,0,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3938.990965405660518,762415.497397452127188
37,,,36,36.000000000000000,36,36,0,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24463.159277534756257,21089623.621005062013865
38,,,37,37.000000000000000,37,37,0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7116.150163598411382,1515026.116745174629614
39,,,38,38.000000000000000,38,38,0,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5873.564315713441829,1556046.518800300778821
40,,,39,39.000000000000000,39,39,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8684.863553187093203,2914334.826344067230821
41,,,40,40.000000000000000,40,40,0,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4117.457562548462192,746454.830637257313356
42,,,41,41.000000000000000,41,41,0,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10600.078180830001656,3648116.144987212494016
43,3,146,42,42.000000000000000,42,42,1,43,{6FCF2977-8700-4085-8AA5-F6B2CB78FD19},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,14288.090000000000146,57.820000000000000,AK,190803031706,190803031706-South Fork Goodpaster River,S,NM,190803031708,0.000000000000000,0.000000000000000,31113.282034500000009,1,207,58078.949999999997090,F38A,112207,PNF38A, ,6/10/2011 0:00:00,Yes,GPS,Helicopter, ,0.000000000000000, ,None Recorded,34868,2011,6/10/2011 0:00:00,DNR Delta,No,8/10/2011 0:00:00,, ,N,2010 - 2019,2011.000000000000000,2010.000000000000000,126404.151492000004509,659.316947449000054,26.879279210499998,31113.282034500000009,57821831.914599999785423,15384.120462462820797,9167679.935144873335958
44,,,43,43.000000000000000,43,43,0,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9589.186840022646720,3760305.587979414034635
45,,,44,44.000000000000000,44,44,0,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6611.712120008304737,2485132.137320115696639
46,,,45,45.000000000000000,45,45,0,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15354.564477264684683,9931729.693264242261648
47,,,46,46.000000000000000,46,46,0,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8619.787481543808099,3837636.684153528884053
48,,,47,47.000000000000000,47,47,0,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5434.821283314578977,1480389.979955226648599
49,1,176,48,48.000000000000000,48,48,2,49,{74912BBA-B9BA-4A07-96B4-41B8B9750C28},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,10717.690000000000509,43.369999999999997,AK,190803031808,Volkmar Lake,S,NM,190803031809,0.000000000000000,0.000000000000000,31587.831357700000808,1, ,386.740000000000009,B489,312489,P00489,410,11/14/1993 0:00:00,Yes,Image Interpretation, , ,0.000000000000000, ,Fire perimeter modified using Landsat Image Service.,22384,1993,3/14/2019 0:00:00,jljenkins, ,7/17/1993 0:00:00,, ,N,1990 - 1999,1993.000000000000000,1990.000000000000000,6028.324797590000344,409.812520043000006,17.837160333000000,31587.831357700000808,43372846.055100001394749,19043.910415071964962,14516627.773334747180343
50,,,49,49.000000000000000,49,49,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7244.769701286632881,2017831.306635094108060
51,,,50,50.000000000000000,50,50,0,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15768.771175937090447,10090084.281989380717278
52,,,51,51.000000000000000,51,51,0,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.854587646387778,17.098484595421379
53,3,96,51,51.000000000000000,51,51,1,53,{9FAB9D25-4861-4946-96B3-77F2822F9497},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,19952.970000000001164,80.750000000000000,AK,190803031704,Michigan Creek,M,NM,190803031708,0.000000000000000,0.000000000000000,41026.802638000001025,1,321,9826.229999999999563,JUQ4,512321,PNJUQ4,10499.3,8/4/2015 0:00:00,Yes,Digitized,Image,B - Within 90 Meters,0.000000000000000, ,Digitized from Landsat8 image dated 8/4/15,38135,2015,8/6/2015 0:00:00,dmgriggs,No,8/23/2015 0:00:00,,E63D7CEC-7D73-4518-B214-D36148A7598C,N,2010 - 2019,2015.000000000000000,2010.000000000000000,49557.338172999996459,622.536921689999986,23.227942466999998,41026.802638000001025,80746821.342199996113777,11955.895045378909344,7334245.312200068496168
54,,,52,52.000000000000000,52,52,0,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7954.260172485444855,3592368.334116476587951
55,3,146,53,53.000000000000000,53,53,1,55,{6FCF2977-8700-4085-8AA5-F6B2CB78FD19},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,14288.090000000000146,57.820000000000000,AK,190803031706,190803031706-South Fork Goodpaster River,S,NM,190803031708,0.000000000000000,0.000000000000000,31113.282034500000009,1,207,58078.949999999997090,F38A,112207,PNF38A, ,6/10/2011 0:00:00,Yes,GPS,Helicopter, ,0.000000000000000, ,None Recorded,34868,2011,6/10/2011 0:00:00,DNR Delta,No,8/10/2011 0:00:00,, ,N,2010 - 2019,2011.000000000000000,2010.000000000000000,126404.151492000004509,659.316947449000054,26.879279210499998,31113.282034500000009,57821831.914599999785423,7218.609290401700491,3228163.895369578618556
56,3,96,54,54.000000000000000,54,54,2,56,{9FAB9D25-4861-4946-96B3-77F2822F9497},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,19952.970000000001164,80.750000000000000,AK,190803031704,Michigan Creek,M,NM,190803031708,0.000000000000000,0.000000000000000,41026.802638000001025,1,321,9826.229999999999563,JUQ4,512321,PNJUQ4,10499.3,8/4/2015 0:00:00,Yes,Digitized,Image,B - Within 90 Meters,0.000000000000000, ,Digitized from Landsat8 image dated 8/4/15,38135,2015,8/6/2015 0:00:00,dmgriggs,No,8/23/2015 0:00:00,,E63D7CEC-7D73-4518-B214-D36148A7598C,N,2010 - 2019,2015.000000000000000,2010.000000000000000,49557.338172999996459,622.536921689999986,23.227942466999998,41026.802638000001025,80746821.342199996113777,12388.221069141263797,9022139.535842742770910
57,3,96,55,55.000000000000000,55,55,1,57,{9FAB9D25-4861-4946-96B3-77F2822F9497},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,19952.970000000001164,80.750000000000000,AK,190803031704,Michigan Creek,M,NM,190803031708,0.000000000000000,0.000000000000000,41026.802638000001025,1,321,9826.229999999999563,JUQ4,512321,PNJUQ4,10499.3,8/4/2015 0:00:00,Yes,Digitized,Image,B - Within 90 Meters,0.000000000000000, ,Digitized from Landsat8 image dated 8/4/15,38135,2015,8/6/2015 0:00:00,dmgriggs,No,8/23/2015 0:00:00,,E63D7CEC-7D73-4518-B214-D36148A7598C,N,2010 - 2019,2015.000000000000000,2010.000000000000000,49557.338172999996459,622.536921689999986,23.227942466999998,41026.802638000001025,80746821.342199996113777,12576.113768096311105,8541635.100150344893336
58,1,176,56,56.000000000000000,56,56,1,58,{74912BBA-B9BA-4A07-96B4-41B8B9750C28},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,10717.690000000000509,43.369999999999997,AK,190803031808,Volkmar Lake,S,NM,190803031809,0.000000000000000,0.000000000000000,31587.831357700000808,1, ,386.740000000000009,B489,312489,P00489,410,11/14/1993 0:00:00,Yes,Image Interpretation, , ,0.000000000000000, ,Fire perimeter modified using Landsat Image Service.,22384,1993,3/14/2019 0:00:00,jljenkins, ,7/17/1993 0:00:00,, ,N,1990 - 1999,1993.000000000000000,1990.000000000000000,6028.324797590000344,409.812520043000006,17.837160333000000,31587.831357700000808,43372846.055100001394749,12398.889355297515067,4318823.813950288109481
59,1,176,57,57.000000000000000,57,57,1,59,{74912BBA-B9BA-4A07-96B4-41B8B9750C28},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,10717.690000000000509,43.369999999999997,AK,190803031808,Volkmar Lake,S,NM,190803031809,0.000000000000000,0.000000000000000,31587.831357700000808,1, ,386.740000000000009,B489,312489,P00489,410,11/14/1993 0:00:00,Yes,Image Interpretation, , ,0.000000000000000, ,Fire perimeter modified using Landsat Image Service.,22384,1993,3/14/2019 0:00:00,jljenkins, ,7/17/1993 0:00:00,, ,N,1990 - 1999,1993.000000000000000,1990.000000000000000,6028.324797590000344,409.812520043000006,17.837160333000000,31587.831357700000808,43372846.055100001394749,14057.531369081056255,9016955.102129558101296
60,,,58,58.000000000000000,58,58,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5673.243616663068678,1289749.036523591028526
61,3,96,59,59.000000000000000,59,59,1,61,{9FAB9D25-4861-4946-96B3-77F2822F9497},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,19952.970000000001164,80.750000000000000,AK,190803031704,Michigan Creek,M,NM,190803031708,0.000000000000000,0.000000000000000,41026.802638000001025,1,321,9826.229999999999563,JUQ4,512321,PNJUQ4,10499.3,8/4/2015 0:00:00,Yes,Digitized,Image,B - Within 90 Meters,0.000000000000000, ,Digitized from Landsat8 image dated 8/4/15,38135,2015,8/6/2015 0:00:00,dmgriggs,No,8/23/2015 0:00:00,,E63D7CEC-7D73-4518-B214-D36148A7598C,N,2010 - 2019,2015.000000000000000,2010.000000000000000,49557.338172999996459,622.536921689999986,23.227942466999998,41026.802638000001025,80746821.342199996113777,9276.105002964339292,4429398.150319485925138
62,3,119,60,60.000000000000000,60,60,1,62,{028A61FF-DF9E-40BE-8BA1-4A99B67E1FB8},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,39798.379999999997381,161.060000000000002,AK,190803031809,Outlet Goodpaster River,M,NM,190803031904,0.000000000000000,0.000000000000000,88343.982325200006017,1,284,49816.250000000000000,B284,312284,P00284, ,11/26/2004 0:00:00,Yes,Not Recorded, , ,0.000000000000000, ,None Recorded,1152,2003,11/26/2004 0:00:00,gschmunk, ,8/19/2003 0:00:00,, ,N,2000 - 2009,2003.000000000000000,2000.000000000000000,116558.365732000005664,358.192379916999982,9.084239863340001,88343.982325200006017,161058267.921999990940094,8037.091315045090596,2455359.033363587222993
63,3,119,61,61.000000000000000,61,61,1,63,{028A61FF-DF9E-40BE-8BA1-4A99B67E1FB8},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,39798.379999999997381,161.060000000000002,AK,190803031809,Outlet Goodpaster River,M,NM,190803031904,0.000000000000000,0.000000000000000,88343.982325200006017,1,284,49816.250000000000000,B284,312284,P00284, ,11/26/2004 0:00:00,Yes,Not Recorded, , ,0.000000000000000, ,None Recorded,1152,2003,11/26/2004 0:00:00,gschmunk, ,8/19/2003 0:00:00,, ,N,2000 - 2009,2003.000000000000000,2000.000000000000000,116558.365732000005664,358.192379916999982,9.084239863340001,88343.982325200006017,161058267.921999990940094,8558.410895872975743,3690833.741552482824773
64,,,62,62.000000000000000,62,62,0,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2226.064320917340865,125555.550041526599671
65,4,197,63,63.000000000000000,63,63,1,65,{7F5614B6-73BD-45E8-9F24-272A9F2496FA},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,39529.110000000000582,159.969999999999999,AK,190803031708,Lower South Fork Goodpaster River,S,NM,190803031809,0.000000000000000,0.000000000000000,87072.417635599995265,1,207,58078.949999999997090,F38A,112207,PNF38A, ,6/10/2011 0:00:00,Yes,GPS,Helicopter, ,0.000000000000000, ,None Recorded,34868,2011,6/10/2011 0:00:00,DNR Delta,No,8/10/2011 0:00:00,, ,N,2010 - 2019,2011.000000000000000,2010.000000000000000,126404.151492000004509,476.550060336999991,21.957477066300001,87072.417635599995265,159968643.102999985218048,43.840436224098212,84.441176255318410
66,4,197,63,63.000000000000000,63,63,1,66,{7F5614B6-73BD-45E8-9F24-272A9F2496FA},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,39529.110000000000582,159.969999999999999,AK,190803031708,Lower South Fork Goodpaster River,S,NM,190803031809,0.000000000000000,0.000000000000000,87072.417635599995265,1,207,58078.949999999997090,F38A,112207,PNF38A, ,6/10/2011 0:00:00,Yes,GPS,Helicopter, ,0.000000000000000, ,None Recorded,34868,2011,6/10/2011 0:00:00,DNR Delta,No,8/10/2011 0:00:00,, ,N,2010 - 2019,2011.000000000000000,2010.000000000000000,126404.151492000004509,476.550060336999991,21.957477066300001,87072.417635599995265,159968643.102999985218048,13185.115912368208228,7175120.334974597208202
67,3,119,64,64.000000000000000,64,64,3,67,{028A61FF-DF9E-40BE-8BA1-4A99B67E1FB8},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,39798.379999999997381,161.060000000000002,AK,190803031809,Outlet Goodpaster River,M,NM,190803031904,0.000000000000000,0.000000000000000,88343.982325200006017,1,284,49816.250000000000000,B284,312284,P00284, ,11/26/2004 0:00:00,Yes,Not Recorded, , ,0.000000000000000, ,None Recorded,1152,2003,11/26/2004 0:00:00,gschmunk, ,8/19/2003 0:00:00,, ,N,2000 - 2009,2003.000000000000000,2000.000000000000000,116558.365732000005664,358.192379916999982,9.084239863340001,88343.982325200006017,161058267.921999990940094,14385.143986185425092,9081283.869975613430142
68,3,119,65,65.000000000000000,65,65,2,68,{028A61FF-DF9E-40BE-8BA1-4A99B67E1FB8},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,39798.379999999997381,161.060000000000002,AK,190803031809,Outlet Goodpaster River,M,NM,190803031904,0.000000000000000,0.000000000000000,88343.982325200006017,1,284,49816.250000000000000,B284,312284,P00284, ,11/26/2004 0:00:00,Yes,Not Recorded, , ,0.000000000000000, ,None Recorded,1152,2003,11/26/2004 0:00:00,gschmunk, ,8/19/2003 0:00:00,, ,N,2000 - 2009,2003.000000000000000,2000.000000000000000,116558.365732000005664,358.192379916999982,9.084239863340001,88343.982325200006017,161058267.921999990940094,20686.257723880185949,18160899.633300509303808
69,3,119,66,66.000000000000000,66,66,1,69,{028A61FF-DF9E-40BE-8BA1-4A99B67E1FB8},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,39798.379999999997381,161.060000000000002,AK,190803031809,Outlet Goodpaster River,M,NM,190803031904,0.000000000000000,0.000000000000000,88343.982325200006017,1,284,49816.250000000000000,B284,312284,P00284, ,11/26/2004 0:00:00,Yes,Not Recorded, , ,0.000000000000000, ,None Recorded,1152,2003,11/26/2004 0:00:00,gschmunk, ,8/19/2003 0:00:00,, ,N,2000 - 2009,2003.000000000000000,2000.000000000000000,116558.365732000005664,358.192379916999982,9.084239863340001,88343.982325200006017,161058267.921999990940094,9693.901084648485266,4199842.416699286550283
70,3,119,67,67.000000000000000,67,67,2,70,{028A61FF-DF9E-40BE-8BA1-4A99B67E1FB8},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,39798.379999999997381,161.060000000000002,AK,190803031809,Outlet Goodpaster River,M,NM,190803031904,0.000000000000000,0.000000000000000,88343.982325200006017,1,284,49816.250000000000000,B284,312284,P00284, ,11/26/2004 0:00:00,Yes,Not Recorded, , ,0.000000000000000, ,None Recorded,1152,2003,11/26/2004 0:00:00,gschmunk, ,8/19/2003 0:00:00,, ,N,2000 - 2009,2003.000000000000000,2000.000000000000000,116558.365732000005664,358.192379916999982,9.084239863340001,88343.982325200006017,161058267.921999990940094,19139.434349404073146,13606261.182764833793044
71,4,197,68,68.000000000000000,68,68,1,71,{7F5614B6-73BD-45E8-9F24-272A9F2496FA},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,39529.110000000000582,159.969999999999999,AK,190803031708,Lower South Fork Goodpaster River,S,NM,190803031809,0.000000000000000,0.000000000000000,87072.417635599995265,1,207,58078.949999999997090,F38A,112207,PNF38A, ,6/10/2011 0:00:00,Yes,GPS,Helicopter, ,0.000000000000000, ,None Recorded,34868,2011,6/10/2011 0:00:00,DNR Delta,No,8/10/2011 0:00:00,, ,N,2010 - 2019,2011.000000000000000,2010.000000000000000,126404.151492000004509,476.550060336999991,21.957477066300001,87072.417635599995265,159968643.102999985218048,12138.473475795910417,5383341.725109619088471
72,,,69,69.000000000000000,69,69,0,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11886.851524293189868,6914064.206955354660749
73,,,70,70.000000000000000,70,70,0,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7349.953159453919397,3276432.047629423905164
74,,,71,71.000000000000000,71,71,0,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9191.157909123930949,4001850.768769208807498
75,,,72,72.000000000000000,72,72,0,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.242942102339100,6076.201914487450267
76,,,73,73.000000000000000,73,73,0,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3170.807476416934151,399456.290453173569404
77,3,119,74,74.000000000000000,74,74,1,77,{028A61FF-DF9E-40BE-8BA1-4A99B67E1FB8},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,39798.379999999997381,161.060000000000002,AK,190803031809,Outlet Goodpaster River,M,NM,190803031904,0.000000000000000,0.000000000000000,88343.982325200006017,1,284,49816.250000000000000,B284,312284,P00284, ,11/26/2004 0:00:00,Yes,Not Recorded, , ,0.000000000000000, ,None Recorded,1152,2003,11/26/2004 0:00:00,gschmunk, ,8/19/2003 0:00:00,, ,N,2000 - 2009,2003.000000000000000,2000.000000000000000,116558.365732000005664,358.192379916999982,9.084239863340001,88343.982325200006017,161058267.921999990940094,32447.661871064912702,23934983.893153414130211
