OID_,Join_Count,TARGET_FID,Join_Count_1,TARGET_FID_1,Join_Cou_1,TARGET_F_1,Dam_Type,Dam_Condit,Notes,Beaver_cre,Dam_Num,Surveyor,Dam_Cond_1,Beaver_C_1,OBJECTID_1,Shape_Leng,Area_m2,Notes_1,Length_m,Width_m,Dam_Num_1,Surveyor_1,TNMID,MetaSource,SourceData,SourceOrig,SourceFeat,LoadDate,GNIS_ID,AreaAcres,AreaSqKm,States,HUC12,Name,HUType,HUMod,ToHUC,NonContrib,NonContr_1,Shape_Le_1,Surveyed,Shape_Le_2,RECORDNUMB,ACRES,AFSNUMBER,DOFNUMBER,USFSNUMBER,ADDNUMBER,PERIMETERD,LATESTPERI,SOURCE,SOURCEMETH,SOURCECLAS,AGENCYACRE,ACREAGEMET,COMMENTS,FIREID,FIREYEAR,UPDATETIME,UPDATEUSER,USEDONFINA,FPOUTDATE,FPMERGEDDA,IRWINID,PRESCRIBED,FIRESEASON,Year,Years,Shape_Le_3,Z,ID,DOWN_ID,CHAN_ID,LENGTH_M_1,AREA_SQKM,ELEV_M,OUT_DIST,SRC_DIST,FROM_DIST,GRADIENT,MNANPRC_M,MEANANNCMS,WIDTH_M_1,DEPTH_M,MAX_GRAD_D,LAKE,STRM_ORDER,AZIMTH_DEG,SINUOSITY,VAL_WIDTH,FP_WIDTH,DROPMAX,Fish,Basin_ID,VWI_Floor,ValCnstrnt,FlowVel,BFQ,StrmPow,BeavHab,FISH_RESID,GEP_Cum,GEP,IP_CHIN2,CCon,MERGE_SRC,uID
11,1,11,1,11,0,11,side,active, ,Y,15,EB, , ,685,112.170390624999996,171.000000000000000, ,41.000000000000000,7.000000000000000,15,EB,{7EA79AF7-710B-4CB6-B93C-7E3C66BB5FEA},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,26303.080000000001746,106.439999999999998,AK,190803090603,Poker Creek,S,NM,190803090604,0.000000000000000,0.000000000000000,45149.785570699998061,1,45149.785570699998061, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,226.525036564000004,11936.000000000000000,11935.000000000000000,8.000000000000000,103.639600000000002,60.152299999999997,225.146199999999993,199.612300000000005,14.339480000000000,4.831000000000000,0.007500000000000,0.454100000000000,0.359100000000000,2.332400000000000,0.103200000000000,0.044000000000000,0.000000000000000,3.000000000000000,236.5500031,1.046500000000000,18.694199999999999,63.491199999999999,1.818400000000000,1,5090603,8.0200005,27.221000000000000,0.6097000,0.147000000000000,10.787000000000001,1,1,0.212100000000000,0.038100000000000,0.525100000000000,UNCONSTRAINED,F:\GIS\SERDP\ARCPRO\SERDP_Riparian_Fire\SERDP_Riparian_Fire.gdb\CHAT,CHAT11936
12,1,12,1,12,0,12,main,active, ,Y,17,EB, , ,686,218.226691993999992,335.000000000000000, ,80.000000000000000,5.000000000000000,17,EB,{7EA79AF7-710B-4CB6-B93C-7E3C66BB5FEA},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,26303.080000000001746,106.439999999999998,AK,190803090603,Poker Creek,S,NM,190803090604,0.000000000000000,0.000000000000000,45149.785570699998061,1,45149.785570699998061, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,233.914452189000002,11945.000000000000000,11944.000000000000000,8.000000000000000,125.710700000000003,58.417900000000003,234.055100000000010,200.513910000000010,13.437870000000000,5.732610000000000,0.003500000000000,0.456000000000000,0.349000000000000,2.299600000000000,0.102400000000000,0.044000000000000,0.000000000000000,3.000000000000000,254.6699982,1.216700000000000,39.044499999999999,50.652900000000002,1.818400000000000,1,5090603,16.9799995,22.032000000000000,0.4142000,0.098000000000000,3.345000000000000,1,1,0.212800000000000,0.181200000000000,0.524000000000000,UNCONSTRAINED,F:\GIS\SERDP\ARCPRO\SERDP_Riparian_Fire\SERDP_Riparian_Fire.gdb\CHAT,CHAT11945
13,1,13,1,13,0,13,main,active, ,Y,18,EB, , ,694,134.032651152000000,277.000000000000000, ,62.000000000000000,7.000000000000000,18,EB,{7EA79AF7-710B-4CB6-B93C-7E3C66BB5FEA},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,26303.080000000001746,106.439999999999998,AK,190803090603,Poker Creek,S,NM,190803090604,0.000000000000000,0.000000000000000,45149.785570699998061,1,45149.785570699998061, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,234.154528851000009,11945.000000000000000,11944.000000000000000,8.000000000000000,125.710700000000003,58.417900000000003,234.055100000000010,200.513910000000010,13.437870000000000,5.732610000000000,0.003500000000000,0.456000000000000,0.349000000000000,2.299600000000000,0.102400000000000,0.044000000000000,0.000000000000000,3.000000000000000,254.6699982,1.216700000000000,39.044499999999999,50.652900000000002,1.818400000000000,1,5090603,16.9799995,22.032000000000000,0.4142000,0.098000000000000,3.345000000000000,1,1,0.212800000000000,0.181200000000000,0.524000000000000,UNCONSTRAINED,F:\GIS\SERDP\ARCPRO\SERDP_Riparian_Fire\SERDP_Riparian_Fire.gdb\CHAT,CHAT11945
14,1,14,1,14,0,14,main,active, ,M,21,EB, , ,687,52.642675081999997,76.000000000000000, ,23.000000000000000,4.000000000000000,21,EB,{7EA79AF7-710B-4CB6-B93C-7E3C66BB5FEA},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,26303.080000000001746,106.439999999999998,AK,190803090603,Poker Creek,S,NM,190803090604,0.000000000000000,0.000000000000000,45149.785570699998061,1,45149.785570699998061, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,254.061809694999994,11964.000000000000000,11963.000000000000000,8.000000000000000,131.923900000000003,53.399099999999997,253.924000000000007,202.411300000000011,11.540480000000001,7.630000000000000,0.007400000000000,0.460800000000000,0.322000000000000,2.209200000000000,0.100000000000000,0.044000000000000,0.000000000000000,3.000000000000000,141.4400024,1.093400000000000,112.980599999999995,113.290599999999998,1.818400000000000,1,5090603,51.1399994,51.281999999999996,0.5925000,0.131000000000000,9.493000000000000,1,1,0.214600000000000,0.153700000000000,0.510600000000000,UNCONSTRAINED,F:\GIS\SERDP\ARCPRO\SERDP_Riparian_Fire\SERDP_Riparian_Fire.gdb\CHAT,CHAT11964
15,1,15,1,15,0,15,main,active, ,Y,22,EB, , ,688,134.616845928999993,202.000000000000000, ,57.000000000000000,3.000000000000000,22,EB,{7EA79AF7-710B-4CB6-B93C-7E3C66BB5FEA},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,26303.080000000001746,106.439999999999998,AK,190803090603,Poker Creek,S,NM,190803090604,0.000000000000000,0.000000000000000,45149.785570699998061,1,45149.785570699998061, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,254.170704803000007,11964.000000000000000,11963.000000000000000,8.000000000000000,131.923900000000003,53.399099999999997,253.924000000000007,202.411300000000011,11.540480000000001,7.630000000000000,0.007400000000000,0.460800000000000,0.322000000000000,2.209200000000000,0.100000000000000,0.044000000000000,0.000000000000000,3.000000000000000,141.4400024,1.093400000000000,112.980599999999995,113.290599999999998,1.818400000000000,1,5090603,51.1399994,51.281999999999996,0.5925000,0.131000000000000,9.493000000000000,1,1,0.214600000000000,0.153700000000000,0.510600000000000,UNCONSTRAINED,F:\GIS\SERDP\ARCPRO\SERDP_Riparian_Fire\SERDP_Riparian_Fire.gdb\CHAT,CHAT11964
16,1,16,1,16,0,16,side,active,1a EB,Y,1,EB, , ,689,172.134877073000013,346.000000000000000, ,76.000000000000000,6.000000000000000,1,EB,{7EA79AF7-710B-4CB6-B93C-7E3C66BB5FEA},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,26303.080000000001746,106.439999999999998,AK,190803090603,Poker Creek,S,NM,190803090604,0.000000000000000,0.000000000000000,45149.785570699998061,1,45149.785570699998061, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,204.248719670000014,11901.000000000000000,11900.000000000000000,8.000000000000000,107.781700000000001,105.833500000000001,202.450700000000012,196.137040000000013,17.814740000000000,1.355740000000000,0.017500000000000,0.445500000000000,0.638200000000000,3.105000000000000,0.121400000000000,0.044000000000000,0.000000000000000,4.000000000000000,191.2100067,1.173600000000000,48.057800000000000,64.355699999999999,1.818400000000000,1,5090603,15.4799995,20.725999999999999,1.0433000,0.393000000000000,67.445999999999998,1,1,0.208100000000000,0.121600000000000,0.569000000000000,UNCONSTRAINED,F:\GIS\SERDP\ARCPRO\SERDP_Riparian_Fire\SERDP_Riparian_Fire.gdb\CHAT,CHAT11901
17,1,17,1,17,0,17,side,active,4a EB,Y,4,EB, , ,690,74.571048189500004,130.000000000000000, ,29.000000000000000,6.000000000000000,4,EB,{7EA79AF7-710B-4CB6-B93C-7E3C66BB5FEA},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,26303.080000000001746,106.439999999999998,AK,190803090603,Poker Creek,S,NM,190803090604,0.000000000000000,0.000000000000000,45149.785570699998061,1,45149.785570699998061, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,212.894190960999993,11917.000000000000000,11916.000000000000000,8.000000000000000,101.568500000000000,104.310100000000006,212.484299999999990,197.723649999999992,16.228130000000000,2.942350000000000,0.004900000000000,0.446400000000000,0.630200000000000,3.085600000000000,0.120900000000000,0.044000000000000,0.000000000000000,4.000000000000000,305.3299866,1.529900000000000,46.354900000000001,25.143899999999999,1.818400000000000,1,5090603,15.0200005,8.148999999999999,0.5505000,0.205000000000000,9.862000000000000,1,1,0.208600000000000,0.110800000000000,0.649600000000000,UNCONSTRAINED,F:\GIS\SERDP\ARCPRO\SERDP_Riparian_Fire\SERDP_Riparian_Fire.gdb\CHAT,CHAT11917
18,1,18,1,18,0,18,side,active, ,Y,5,EB, , ,691,60.613836910099998,58.000000000000000, ,25.000000000000000,4.000000000000000,5,EB,{7EA79AF7-710B-4CB6-B93C-7E3C66BB5FEA},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,26303.080000000001746,106.439999999999998,AK,190803090603,Poker Creek,S,NM,190803090604,0.000000000000000,0.000000000000000,45149.785570699998061,1,45149.785570699998061, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,212.720316478000001,11917.000000000000000,11916.000000000000000,8.000000000000000,101.568500000000000,104.310100000000006,212.484299999999990,197.723649999999992,16.228130000000000,2.942350000000000,0.004900000000000,0.446400000000000,0.630200000000000,3.085600000000000,0.120900000000000,0.044000000000000,0.000000000000000,4.000000000000000,305.3299866,1.529900000000000,46.354900000000001,25.143899999999999,1.818400000000000,1,5090603,15.0200005,8.148999999999999,0.5505000,0.205000000000000,9.862000000000000,1,1,0.208600000000000,0.110800000000000,0.649600000000000,UNCONSTRAINED,F:\GIS\SERDP\ARCPRO\SERDP_Riparian_Fire\SERDP_Riparian_Fire.gdb\CHAT,CHAT11917
19,1,19,1,19,0,19,side,active, ,Y,13,EB, , ,692,98.930860415100000,153.000000000000000, ,39.000000000000000,6.000000000000000,13,EB,{7EA79AF7-710B-4CB6-B93C-7E3C66BB5FEA},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,26303.080000000001746,106.439999999999998,AK,190803090603,Poker Creek,S,NM,190803090604,0.000000000000000,0.000000000000000,45149.785570699998061,1,45149.785570699998061, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,223.812284153000007,11933.000000000000000,11932.000000000000000,8.000000000000000,106.568500000000000,60.331299999999999,222.796300000000002,199.313109999999995,14.638680000000001,4.531800000000000,0.001900000000000,0.453800000000000,0.360000000000000,2.335200000000000,0.103300000000000,0.044000000000000,0.000000000000000,3.000000000000000,146.9600067,1.193900000000000,85.125699999999995,27.479099999999999,1.818400000000000,1,5090603,36.4500008,11.766999999999999,0.3071000,0.074000000000000,1.379000000000000,1,1,0.212000000000000,0.167800000000000,0.518100000000000,UNCONSTRAINED,F:\GIS\SERDP\ARCPRO\SERDP_Riparian_Fire\SERDP_Riparian_Fire.gdb\CHAT,CHAT11933
20,1,20,1,20,0,20,side,active, ,M,16,EB, , ,693,71.918013495699995,71.000000000000000, ,32.000000000000000,4.000000000000000,16,EB,{7EA79AF7-710B-4CB6-B93C-7E3C66BB5FEA},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,26303.080000000001746,106.439999999999998,AK,190803090603,Poker Creek,S,NM,190803090604,0.000000000000000,0.000000000000000,45149.785570699998061,1,45149.785570699998061, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,228.301355066000013,11939.000000000000000,11938.000000000000000,8.000000000000000,120.710700000000003,59.036999999999999,227.848399999999998,199.912380000000013,14.039410000000000,5.131080000000000,0.007000000000000,0.455100000000000,0.352900000000000,2.312400000000000,0.102700000000000,0.044000000000000,0.000000000000000,3.000000000000000,173.6900024,1.133500000000000,18.095300000000002,120.862499999999997,1.818400000000000,1,5090603,7.8299999,52.267000000000003,0.5870000,0.139000000000000,9.563000000000001,1,1,0.212400000000000,0.126100000000000,0.523400000000000,UNCONSTRAINED,F:\GIS\SERDP\ARCPRO\SERDP_Riparian_Fire\SERDP_Riparian_Fire.gdb\CHAT,CHAT11939
