OID_,Join_Count,TARGET_FID,TNMID,MetaSource,SourceData,SourceOrig,SourceFeat,LoadDate,GNIS_ID,AreaAcres,AreaSqKm,States,HUC12,Name,HUType,HUMod,ToHUC,NonContrib,NonContr_1,Shape_Leng,Surveyed,RECORDNUMB,ACRES,AFSNUMBER,DOFNUMBER,USFSNUMBER,ADDNUMBER,PERIMETERD,LATESTPERI,SOURCE,SOURCEMETH,SOURCECLAS,AGENCYACRE,ACREAGEMET,COMMENTS,FIREID,FIREYEAR,UPDATETIME,UPDATEUSER,USEDONFINA,FPOUTDATE,FPMERGEDDA,IRWINID,PRESCRIBED,FIRESEASON,Year,Years,Shape_Le_1,Z_Mean,Avg_Slope,Shape_Le_2,Num_of_dam,Shape_Length,Shape_Area,Point_Count
16,5,16,{9D75550E-CD7E-43C4-A772-E66C32F6D05B},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,22664.279999999998836,91.719999999999999,AK,190803060407,Outlet West Fork Chena River,S,NM,190803060409,0.000000000000000,0.000000000000000,47893.373251199998776,1,613,231.409999999999997,JT7T,511613, ,231,6/28/2015 0:00:00,Yes,GPS,Foot, ,231.400000000000006, ,"Collected by DIVS Chris Moore, walked on foot.",38443,2015,7/3/2015 0:00:00,jljenkins,No,9/1/2015 0:00:00,,28BB1D07-9C81-494C-BF40-E86F300E06DA,N,2010 - 2019,2015.000000000000000,2010.000000000000000,4606.093338820000099,0.000000000000000,0.000000000000000,47893.373251199998776,0.000000000000000,47893.373251219098165,91719093.117915615439415,5
17,1,17,{CD1BADAC-7EDE-4418-96DB-403AFD11B353},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,29701.860000000000582,120.200000000000003,AK,190803070108,Caribou Creek,S,NM,190803070111,0.000000000000000,0.000000000000000,63008.126993099998799,1,219,19442.779999999998836,FEU5,012219,PNFEU5, ,6/6/2010 0:00:00,Yes,Not Recorded, , ,0.000000000000000, ,None Recorded,33142,2010,6/6/2010 0:00:00,DNR Delta,No,8/30/2010 0:00:00,, ,N,2010 - 2019,2010.000000000000000,2010.000000000000000,86152.579521399995429,661.066701792000003,14.424738446499999,63008.126993099998799,0.000000000000000,63008.126993104924622,120199150.312803521752357,0
18,4,18,{C2A6C7EC-A608-4A3F-B381-ABCAE10FAF4A},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,38710.589999999996508,156.659999999999997,AK,190803050608,190803050608-Salcha River,S,NM,190803050803,0.000000000000000,0.000000000000000,63494.918464199996379,1,169,7.040000000000000,N2KV,111169,PNN2KV,7,6/10/2021 0:00:00,Yes,GPS-Walked, , ,0.000000000000000, ,Perimeter submitted to NIFS.,67964,2021,6/10/2021 0:00:00,jljenkins, ,6/14/2021 0:00:00,,{58F45DC1-ADC5-490E-9588-523DF5037087},N,2020 - 2029,2021.000000000000000,2020.000000000000000,1045.831661369999892,446.421197893999988,20.086303207499999,63494.918464199996379,0.000000000000000,63494.918464202855830,156656204.630519121885300,2
19,1,19,{B894BA12-4E6A-4F69-83AA-5489068E31E4},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,32907.860000000000582,133.169999999999987,AK,190803050605,Headwaters Flat Creek,S,NM,190803050607,0.000000000000000,0.000000000000000,49667.343975499999942,1, ,49143.120000000002619,9476, , , ,11/1/1969 0:00:00,Yes,Digitized,Image, ,0.000000000000000, ,Perimeter modified from 1978 Landsat image P75 R14.,25761,1969,3/12/2008 0:00:00,jhrobak,No,7/31/1969 0:00:00,, ,N,1960 - 1969,1969.000000000000000,1960.000000000000000,72811.384457199994358,669.953902856000013,29.914182360300000,49667.343975499999942,0.000000000000000,49667.343975540243264,133173385.595819190144539,2
20,2,20,{CC706F12-04C7-4E3D-8CAF-BBAEE0AB945E},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,27608.220000000001164,111.730000000000004,AK,190803060201,Headwaters Munson Creek,S,NM,190803060204,0.000000000000000,0.000000000000000,49063.514622700000473,1,242,1130.690000000000055,B9YX,511242, ,950,8/9/2005 0:00:00,Yes,Image Interpretation,Other, ,0.000000000000000, ,Fire perimeter modified using Landsat Image Service.,2602,2005,3/20/2019 0:00:00,jljenkins, ,7/6/2005 0:00:00,, ,N,2000 - 2009,2005.000000000000000,2000.000000000000000,11615.857502400000158,883.419802725999944,19.150158667100001,49063.514622700000473,0.000000000000000,49063.514622678514570,111726493.478681966662407,5
21,1,21,{76AF2904-9125-4ED1-B71D-45D042280F7C},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,8870.409999999999854,35.899999999999999,AK,190803050504,190803050504,S,NM,190803050505,0.000000000000000,0.000000000000000,27010.065017600001738,1,312,182831.269999999989523,A5TX,412312,PNA5TX,175815,8/9/2005 0:00:00,Yes,Image Interpretation,Other, ,0.000000000000000, ,Fire perimeter modified using Landsat Image Service.,1832,2004,3/14/2019 0:00:00,jljenkins, ,10/1/2004 0:00:00,, ,N,2000 - 2009,2004.000000000000000,2000.000000000000000,340519.879099000012502,779.230740825999987,42.619111785299999,27010.065017600001738,0.000000000000000,27010.065017590964999,35897264.960185714066029,0
22,2,22,{6CA181ED-FF52-4865-97CD-5501A14D4F2E},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,10537.750000000000000,42.640000000000001,AK,190803070102,Corda Creek,S,NM,190803070104,0.000000000000000,0.000000000000000,32190.603002600000764,1, ,11758.569999999999709,A072,612025, ,12350,11/14/1986 0:00:00,Yes,Image Interpretation, , ,0.000000000000000, ,Fire perimeter modified using Landsat Image Service.,25267,1986,3/14/2019 0:00:00,jljenkins, ,7/29/1986 0:00:00,, ,N,1980 - 1989,1986.000000000000000,1980.000000000000000,55632.611110799996823,911.688507050999988,14.770558587400000,32190.603002600000764,0.000000000000000,32190.603002617466700,42644738.153591267764568,0
23,2,23,{6D5C1D19-E5A6-4D01-AC5C-630D510646D6},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,8167.100000000000364,33.049999999999997,AK,190803031803,190803031803,S,NM,190803031806,0.000000000000000,0.000000000000000,25159.606777000000875,1,396,999.970000000000027,JTB7,512396,PNJTB7,1043,6/27/2015 0:00:00,Yes,Digitized,Other,D - Within 1 KiloMeter,1000.000000000000000, ,MODIS/VIIRS,38220,2015,7/2/2015 0:00:00,jljenkins,No,8/13/2015 0:00:00,,A6318EDF-55AB-4598-8E70-12435FAA7E2B,N,2010 - 2019,2015.000000000000000,2010.000000000000000,7434.258811089999654,797.003600663000043,36.942263651700003,25159.606777000000875,0.000000000000000,25159.606776954504312,33051076.750602845102549,1
24,1,24,{55ADA8B3-BF3B-47E8-A666-87FCDEBAE8A2},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,8219.799999999999272,33.259999999999998,AK,190803050404,Upper Boulder Creek,S,NM,190803050406,0.000000000000000,0.000000000000000,29283.395305599999119,1, ,4783.060000000000400,B577,311577, ,4700,9/16/1995 0:00:00,Yes,Image Interpretation, , ,0.000000000000000, ,Fire perimeter modified using Landsat Image Service.,22473,1993,3/14/2019 0:00:00,jljenkins, ,8/12/1993 0:00:00,, ,N,1990 - 1999,1993.000000000000000,1990.000000000000000,24313.811226900001202,1565.914862959999937,52.967142090000003,29283.395305599999119,0.000000000000000,29283.395305615798861,33264344.412813305854797,0
25,1,25,{4F8E26FB-4C80-4CF7-A242-B86D2F84C365},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,13569.500000000000000,54.909999999999997,AK,190803031601,California Creek,S,NM,190803031604,0.000000000000000,0.000000000000000,33392.757666799996514,1, ,37026.480000000003201,Z87, , , ,11/1/1968 0:00:00,Yes,Not Recorded, , ,0.000000000000000, ,Digitized from 1976 Landsat image P73 R15.  Fire considerably larger than reported.,26138,1968,3/12/2008 0:00:00,jhrobak,No,,, ,N,1960 - 1969,1968.000000000000000,1960.000000000000000,57048.125685400002112,992.195030127999985,28.613987644300000,33392.757666799996514,0.000000000000000,33392.757666827186767,54913822.069205582141876,0
26,0,26,{A3F792FD-9164-4E38-B8BF-082F5089A4FE},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,11886.399999999999636,48.100000000000001,AK,190803050106,190803050106,S,NM,190803050107,0.000000000000000,0.000000000000000,31413.175568300001032,0, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,1033.168794440000056,37.598177467900001,31413.175568300001032,0.000000000000000,31413.175568276594277,48102564.669822275638580,0
27,2,27,{40F43B48-D314-421A-904C-81FCC23C0A95},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,32784.809999999997672,132.680000000000007,AK,190803050207,190803050207-Salcha River,M,NM,190803050403,0.000000000000000,0.000000000000000,70940.262834900000598,1,194,4605.439999999999600,DG5R,711194, , ,6/19/2007 0:00:00,Yes,Not Recorded, , ,0.000000000000000, ,None Recorded,26634,2007,6/20/2007 0:00:00,DNR Fairbanks,No,7/26/2007 0:00:00,, ,N,2000 - 2009,2007.000000000000000,2000.000000000000000,24667.948573300000135,774.217596727999990,29.218511022400001,70940.262834900000598,0.000000000000000,70940.262834914203268,132675437.853608891367912,19
28,0,28,{BB83D94A-4058-460A-861B-7FF65F012834},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,26703.119999999998981,108.060000000000002,AK,190803031504,Tibbs Creek,S,NM,190803031509,0.000000000000000,0.000000000000000,49742.402663499997288,1, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,955.742746313999987,27.457453653200002,49742.402663499997288,0.000000000000000,49742.402663477834722,108063714.758630022406578,0
29,0,29,{2889E3AD-AAD9-41E1-8EA1-3BA426B35454},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,11172.719999999999345,45.210000000000001,AK,190803050104,Cottonwood Creek,M,NM,190803050108,0.000000000000000,0.000000000000000,32660.154853600000934,1, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,1135.808442990000003,33.858959818300001,32660.154853600000934,0.000000000000000,32660.154853592481231,45214389.994919173419476,2
30,1,30,{4275539A-F08E-4F8F-BE1A-37024853B50E},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,36242.099999999998545,146.669999999999987,AK,190803050203,Outlet Lost Creek,S,NM,190803050207,0.000000000000000,0.000000000000000,60754.699384500003362,1, ,482.300000000000011, ,711532,P00532, ,11/1/1997 0:00:00,Yes,Not Recorded, , ,0.000000000000000, ,Fire perimeter imported from fire history.,19860,1997,4/12/2007 0:00:00,jhrobak, ,8/23/1997 0:00:00,, ,N,1990 - 1999,1997.000000000000000,1990.000000000000000,8440.027871070000401,898.471288118999951,28.664427529800001,60754.699384500003362,0.000000000000000,60754.699384489300428,146666595.787557750940323,2
31,2,31,{8F088F4C-DF1D-4015-AF30-A5A168879E69},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,31683.689999999998690,128.219999999999999,AK,190803090703,O'Connor Creek,S,NM,190803090704,0.000000000000000,0.000000000000000,57682.050523099998827,0,160,858.110000000000014,F3Z1,111160,PNF3Z1, ,5/26/2011 0:00:00,Yes,GPS,ATV,A - Within 10 Meters,0.000000000000000, ,ATV and foot walked perimeter.  Provided by Tom Ruszkowski.,34801,2011,5/27/2011 0:00:00,hrigby,No,9/8/2011 0:00:00,, ,N,2010 - 2019,2011.000000000000000,2010.000000000000000,15052.315934800000832,0.000000000000000,0.000000000000000,57682.050523099998827,0.000000000000000,57682.050523125413747,128219337.230132117867470,0
32,3,32,{7B5A51CD-39BB-4CF4-8439-2B3ECC8A856F},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,39702.709999999999127,160.669999999999987,AK,190803090805,Minto Lakes,M,IT,190803090806,0.000000000000000,0.000000000000000,59660.683907500002533,0,531,12850.020000000000437,E37N,911531,PNE37N, ,8/10/2009 0:00:00,Yes,Not Recorded, , ,12850.000000000000000,GIS,"Provided by IMT, Greg spoke with Lynn and requested our assitance in uploading data.",32737,2009,8/11/2009 0:00:00,ilmakfsdspcblack,No,9/14/2009 0:00:00,, ,N,2000 - 2009,2009.000000000000000,2000.000000000000000,59539.407560799998464,0.000000000000000,0.000000000000000,59660.683907500002533,0.000000000000000,59660.683907462982461,160671081.774925202131271,0
33,2,33,{084173C4-50ED-45B8-B1C2-8E947E4868A4},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,10869.790000000000873,43.990000000000002,AK,190803090405,190803090405-Washington Creek,S,IT,190803090406,0.000000000000000,0.000000000000000,36274.018149900002754,0,476,16392.319999999999709,A8H3,411476,PDA8H3,16025,9/27/2007 0:00:00,Yes,Image Interpretation,Other, ,0.000000000000000, ,Fire perimeter modified using Landsat Image Service.,1988,2004,3/20/2019 0:00:00,jljenkins, ,10/22/2004 0:00:00,, ,N,2000 - 2009,2004.000000000000000,2000.000000000000000,56564.991880000001402,0.000000000000000,0.000000000000000,36274.018149900002754,0.000000000000000,36274.018149944131437,43988434.941753476858139,0
34,2,34,{84DCD942-4FC8-4FD6-B24D-ADF82230DBB0},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,22142.540000000000873,89.609999999999999,AK,190803090704,Spinach Creek-Goldstream Creek,S,NM,190803090707,0.000000000000000,0.000000000000000,52108.659895199998573,1,319,22487.470000000001164,MBS4,911319,PNMBS4,21309,7/30/2019 0:00:00,Yes,Mixed Methods, , ,0.000000000000000, ,Perimeter submitted by IMT,51181,2019,7/31/2019 0:00:00,dmgriggs, ,9/30/2019 0:00:00,,{9155A802-F466-4D32-AFA3-F0B2D823B2EB},N,2010 - 2019,2019.000000000000000,2010.000000000000000,114689.348612000001594,0.000000000000000,0.000000000000000,52108.659895199998573,0.000000000000000,52108.659895236800367,89607678.937825784087181,3
35,4,35,{9F2A1DFC-268B-4C08-95CC-966C9E250756},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,11431.729999999999563,46.259999999999998,AK,190803060901,190803060901,S,NM,190803060903,0.000000000000000,0.000000000000000,37250.985554699997010,0,10B,347.600000000000023,710B,534006, ,380,5/11/2015 0:00:00,Yes,Digitized,Image,A - Within 10 Meters,0.800000000000000, ,Digitized 5/11/15 from data from W. McPhetridge.,37881,2015,5/12/2015 0:00:00,dmgriggs,No,5/20/2015 0:00:00,, ,Y,2010 - 2019,2015.000000000000000,2010.000000000000000,16724.694799000000785,0.000000000000000,0.000000000000000,37250.985554699997010,0.000000000000000,37250.985554692917503,46262537.140072926878929,0
36,8,36,{92ADC00A-D407-478A-A6DC-D145037BCA8F},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,39388.480000000003201,159.400000000000006,AK,190803060609,Mullen Slough-Chena River,S,NM,190803060903,0.000000000000000,0.000000000000000,80805.074399899996934,0,10B,347.600000000000023,710B,534006, ,380,5/11/2015 0:00:00,Yes,Digitized,Image,A - Within 10 Meters,0.800000000000000, ,Digitized 5/11/15 from data from W. McPhetridge.,37881,2015,5/12/2015 0:00:00,dmgriggs,No,5/20/2015 0:00:00,, ,Y,2010 - 2019,2015.000000000000000,2010.000000000000000,16724.694799000000785,0.000000000000000,0.000000000000000,80805.074399899996934,0.000000000000000,80805.074399880570127,159399554.716772645711899,0
