"","uRCA","LENGTH_M_sum","AREA_SQKM_mean","OUT_DIST_min","GRADIENT_mean","MNANPRC_M_mean","MEANANNCMS_mean","WIDTH_M_mean","DEPTH_M_mean","MAX_GRAD_D_max","LAKE_max","STRM_ORDER_max","AZIMTH_DEG_mean","SINUOSITY_mean","VAL_WIDTH_mean","FP_WIDTH_mean","DROPMAX_max","Fish_min","Basin_ID_min","VWI_Floor_mean","ValCnstrnt_mean","FlowVel_mean","BFQ_mean","StrmPow_mean","BeavHab_min","FISH_RESID_min","GEP_Cum_mean","GEP_mean","IP_CHIN2_mean","ELEV_M_mean","Shape_Area.x","Area_km2_RCA","Shape_Area.y","Area_km2_VB"
"13",13,7657.199,23.57,39.271,0.014,0.371,0.1,1.228,0.072,0.042,0,3,246.473,1.03,9.107,61.571,0,1,5031102,7.51,49.04,0.561,0.047,8.093,0,1,0.267,0.148,0.292,379.554,15293769.3057944,15.2937693057944,1496770.21487401,1.49677021487401
"14",14,577.695,163.188,39.312,0.001,0.376,0.803,3.48,0.129,0.021,1,4,185.931,1.151,21.437,229.374,0,1,5031102,6.16,65.909,0.248,0.112,1.222,1,1,0.256,0.027,0.466,350.665,266667.120763162,0.266667120763162,266667.12076302,0.26666712076302
"15",15,1242.756,2.782,39.825,0.004,0.326,0.009,0.365,0.036,0.021,1,2,267.305,1.043,41.085,30.82,0,1,5031102,112.658,83.38,0.185,0.003,0.11,1,1,0.181,0.043,0.116,352.651,2154212.28209478,2.15421228209478,595719.64266404,0.59571964266404
"16",16,4396.234,157.812,39.852,0.002,0.377,0.78,3.431,0.128,0.021,1,4,166.196,1.161,130.046,160.772,0,1,5031102,38.016,46.801,0.33,0.145,4.079,1,1,0.26,0.096,0.561,353.095,3234254.06982315,3.23425406982315,1504948.78767964,1.50494878767964
"17",17,1508.467,8.426,30.388,0.019,0.349,0.031,0.688,0.052,0.028,0,3,190.46,1.014,7.329,23.291,0,1,5031102,10.641,33.774,0.582,0.021,3.882,1,1,0.237,0.111,0.196,373.22,1726389.72886818,1.72638972886818,220742.942557118,0.220742942557118
"18",18,646.127,2.455,30.365,0.017,0.324,0.007,0.334,0.034,0.02,0,1,157.302,1.061,52.984,56.54,0,1,5031102,160.257,171.082,0.413,0.005,0.779,1,1,0.189,0.125,0.129,366.183,3288511.38152112,3.28851138152112,164681.815916131,0.164681815916131
"19",19,3584.396,370.494,0,0,0.349,1.741,5.116,0.161,0.001,0,5,216.807,1.044,194.192,166.104,0,1,0,37.939,32.461,0.293,0.241,0.337,1,1,0.203,0.084,0.854,329.656,5842321.85265561,5.84232185265561,1826707.68808737,1.82670768808737
"20",20,845.122,2.648,31.779,0.016,0.343,0.009,0.367,0.036,0.028,0,2,244.424,1.075,50.868,44.501,0,1,5031102,139.574,121.096,0.4,0.005,0.992,1,1,0.248,0.088,0.132,395.531,3214535.47174087,3.21453547174087,116798.699293508,0.116798699293508
"21",21,1892.02,3.648,31.778,0.019,0.363,0.013,0.447,0.04,0.036,0,2,179.642,1.019,37.046,36.104,0,1,5031102,89.352,79.944,0.486,0.009,1.764,1,1,0.271,0.154,0.141,403.96,4394942.11005111,4.39494211005111,306661.401215052,0.306661401215052
"22",22,3266.406,149.788,43.927,0.002,0.38,0.744,3.352,0.127,0.023,1,4,226.899,1.141,432.753,77.344,0,1,5031102,128.915,23.019,0.349,0.148,8.088,1,1,0.262,0.079,0.622,359.278,3544467.31107525,3.54446731107525,1067821.12657644,1.06782112657644
"23",23,2555.548,3.371,43.966,0.026,0.345,0.011,0.417,0.039,0.083,0,1,162.465,1.035,13.167,-9999,0,1,5031102,34.012,28.694,0.479,0.007,2.277,0,1,0.273,0.124,0.119,373.628,4395290.34160675,4.39529034160675,556652.263785573,0.556652263785573
"24",24,3794.041,359.621,3.424,0,0.35,1.694,5.046,0.16,0.005,0,5,245.337,1.153,88.352,102.808,0,1,5031103,17.478,20.355,0.301,0.243,1.164,1,1,0.205,0.046,0.847,330.393,4675870.19997332,4.67587019997332,3375019.70468614,3.37501970468614
"25",25,819.472,2.797,3.474,0.019,0.322,0.008,0.358,0.036,0.035,0,2,148.199,1.031,34.052,48.44,0,1,5031103,93.915,135.501,0.429,0.006,1.225,1,1,0.244,0.087,0.115,337.067,3413459.3938253,3.4134593938253,261448.154278464,0.261448154278464
"26",26,1561.371,2.66,46.324,0.095,0.384,0.01,0.395,0.038,0.142,0,1,305.041,1.008,14.447,18.743,0,0,5031102,38.206,47.338,0.751,0.011,10.214,0,1,0.302,0.315,0,510.832,17.0984846067811,0.000017098484607,199020.983422029,0.199020983422029
"27",26,1561.371,2.66,46.324,0.095,0.384,0.01,0.395,0.038,0.142,0,1,305.041,1.008,14.447,18.743,0,0,5031102,38.206,47.338,0.751,0.011,10.214,0,1,0.302,0.315,0,510.832,4444662.60282499,4.44466260282499,199020.983422029,0.199020983422029
"28",27,1763,10.619,46.357,0.046,0.392,0.046,0.841,0.058,0.066,0,2,231.506,1.006,6.259,21.663,0,1,5031102,7.47,25.745,0.997,0.049,22.071,0,1,0.263,0.289,0.084,483.768,2321605.50689174,2.32160550689174,233291.500504256,0.233291500504256
"29",28,4726.65,12.66,12.519,0.008,0.364,0.05,0.876,0.059,0.028,1,2,254.34,1.032,19.477,45.933,0,1,5031103,21.739,50.961,0.399,0.02,2.135,1,1,0.261,0.081,0.224,347.287,6441730.86658785,6.44173086658785,1663325.2493598,1.6633252493598
"30",29,1541.102,2.685,12.553,0.003,0.319,0.008,0.347,0.035,0.009,1,1,282.86,1.053,91.705,42.921,0,1,5031103,268.545,121.122,0.173,0.002,0.088,1,1,0.125,0.045,0.067,336.934,1465117.03184476,1.46511703184477,765504.847278311,0.765504847278311
"31",31,1144.031,10.027,12.522,0,0.349,0.037,0.755,0.054,0.005,1,2,182.131,1.102,70.851,88.775,0,1,5031103,93.595,117.613,0.145,0.006,0.012,1,1,0.225,0.026,0.043,334.622,512739.835931272,0.512739835931272,512739.83593121,0.51273983593121
"32",32,3085.462,5.025,17.007,0.05,0.394,0.02,0.549,0.045,0.103,0,2,225.351,1.022,22.653,21.488,0,0,5031103,38.96,41.497,0.76,0.019,8.73,0,1,0.298,0.25,0.091,423.719,8485037.18643451,8.48503718643451,380624.460984489,0.380624460984489
"33",33,1271.335,2.566,17.014,0.044,0.363,0.009,0.374,0.036,0.059,0,1,176.077,1.017,81.463,-9999,0,1,5031103,223.069,163.621,0.688,0.009,4.048,0,1,0.286,0.246,0.06,395.207,2777719.85813808,2.77771985813808,100387.100767932,0.100387100767932
"34",34,1064.472,343.427,7.028,0.001,0.352,1.618,4.933,0.158,0.005,0,5,266.918,1.259,10.26,64.859,0,1,5031103,2.079,13.149,0.357,0.278,4.425,1,1,0.207,0.028,0.795,331.386,713375.743292777,0.713375743292777,707816.533242434,0.707816533242434
"35",35,1623.173,12.176,7.042,0.004,0.323,0.041,0.796,0.056,0.011,0,3,171.94,1.055,51.609,134.297,0,1,5031103,64.713,169.12,0.278,0.012,0.645,1,1,0.2,0.015,0.255,334.353,762415.497397239,0.762415497397238,762415.497399236,0.762415497399236
"36",36,13979.326,266.191,8.026,0,0.359,1.272,4.376,0.147,0.012,0,4,256.631,1.293,70.535,87.13,0,1,5031102,16.148,19.975,0.312,0.201,2.057,1,1,0.224,0.081,0.758,334.619,21089623.621006,21.089623621006,16842076.3616533,16.8420763616533
"37",37,1644.68,61.105,8.027,0.001,0.334,0.24,1.908,0.092,0.005,0,4,265.203,1.053,49.958,51.334,0,1,5031103,26.119,26.849,0.181,0.032,0.308,1,1,0.176,0.028,0.443,332.521,1515026.11674526,1.51502611674526,1472176.59764568,1.47217659764568
"38",38,2155.66,29.766,10.48,0.001,0.346,0.118,1.338,0.075,0.005,1,3,281.01,1.072,76.068,85.036,0,1,5031103,56.548,63.994,0.185,0.019,0.19,1,1,0.212,0.035,0.169,334.466,1556046.51880032,1.55604651880032,1556046.51879961,1.55604651879961
"39",39,3021.97,4.038,10.45,0.001,0.315,0.012,0.429,0.039,0.01,1,1,214.962,1.176,13.21,74.984,0,1,5031103,30.259,176.102,0.134,0.002,0.063,1,1,0.114,0.023,0.049,335.565,2914334.82634387,2.91433482634387,1594362.3970247,1.5943623970247
"40",40,929.975,36.204,9.589,0.001,0.34,0.141,1.463,0.079,0.005,0,3,273.289,1.029,169.902,30.37,0,1,5031103,116.158,20.741,0.203,0.023,0.217,1,1,0.189,0.038,0.372,333.606,746454.830637295,0.746454830637295,746454.83063744,0.74645483063744
"41",41,3670.28,19.524,9.591,0.005,0.332,0.071,1.04,0.065,0.018,0,3,177.477,1.033,22.589,161.141,0,1,5031103,21.725,154.824,0.336,0.023,1.539,1,1,0.192,0.016,0.301,340.931,3648116.14498781,3.64811614498781,2348577.83789925,2.34857783789925
"42",42,3835.29,4.691,13.599,0.035,0.368,0.017,0.51,0.043,0.092,0,2,222.301,1.013,67.055,28.116,0,1,5031103,123.649,53.998,0.64,0.014,4.923,0,1,0.285,0.151,0.119,375.743,9167679.93514504,9.16767993514504,985888.984070188,0.985888984070188
"43",43,2415.01,2.495,13.642,0.026,0.348,0.008,0.36,0.036,0.087,0,1,201.076,1.046,104.354,39.658,0,1,5031103,289.876,108.95,0.47,0.006,1.818,0,1,0.244,0.078,0.107,354.454,3760305.58797972,3.76030558797971,787139.951530697,0.787139951530697
"44",44,844.828,2.382,48.034,0.116,0.389,0.009,0.377,0.037,0.158,0,2,302.605,1.007,34.442,-9999,2.067,0,5031102,94.005,65.029,0.68,0.009,10.913,0,1,0.268,0.314,0,564.345,2485132.13732036,2.48513213732036,88805.2048789225,0.088805204878923
"45",45,3862.204,5.103,48.031,0.073,0.409,0.022,0.576,0.046,0.136,0,1,268.548,1.007,20.059,17.543,0,0,5031102,36.209,31.36,0.944,0.026,17.744,0,1,0.236,0.293,0.06,639.788,9931729.69326385,9.93172969326385,440108.320048662,0.440108320048662
"46",46,3052.767,127.947,46.976,0.002,0.385,0.64,3.109,0.121,0.023,0,4,241.268,1.235,236.058,31.317,0,1,5031101,75.869,10.084,0.327,0.124,5.53,1,1,0.261,0.116,0.608,364.774,3837636.68415351,3.83763668415351,772598.05266124,0.77259805266124
"47",47,1832.731,16.789,46.977,0.014,0.361,0.068,1.016,0.064,0.023,0,3,156.394,1.024,16.847,65.808,0,1,5031102,16.758,64.468,0.578,0.038,5.51,1,1,0.29,0.149,0.275,373.521,1480389.97995512,1.48038997995512,252695.917795096,0.252695917795096
"48",48,5515.178,6.605,8.545,0.023,0.328,0.022,0.56,0.045,0.144,0,3,155.038,1.034,163.992,84.374,6.539,0,5031103,308.661,143.728,0.532,0.014,2.697,0,1,0.252,0.109,0.163,376.977,14516627.7733344,14.5166277733344,1567938.83833237,1.56793883833237
"49",49,632.34,2.418,8.558,0.005,0.317,0.007,0.329,0.034,0.012,0,1,165.497,1.039,38.67,66.92,0,1,5031103,119.137,204.158,0.207,0.002,0.151,1,1,0.164,0.018,0.139,337.974,2017831.30663554,2.01783130663554,503082.411007802,0.503082411007802
"50",50,7035.594,113.008,49.878,0.006,0.39,0.57,2.935,0.118,0.029,0,4,251.472,1.125,57.962,83.364,2.343,1,5031101,19.553,28.66,0.514,0.177,16.488,1,1,0.26,0.164,0.583,381.654,10090084.2819891,10.0900842819891,1464729.98958979,1.46472998958979
"51",51,3014.361,5.294,49.89,0.04,0.357,0.019,0.535,0.044,0.085,0,2,200.206,1.007,14.64,23.745,0,1,5031101,32.64,43.812,0.723,0.017,6.326,0,1,0.292,0.229,0.1,409.716,17.0984845954214,0.000017098484595,426340.016680797,0.426340016680797
"52",51,3014.361,5.294,49.89,0.04,0.357,0.019,0.535,0.044,0.085,0,2,200.206,1.007,14.64,23.745,0,1,5031101,32.64,43.812,0.723,0.017,6.326,0,1,0.292,0.229,0.1,409.716,7334245.31220038,7.33424531220038,426340.016680797,0.426340016680797
"53",52,1008.675,2.582,42.5,0.088,0.392,0.01,0.395,0.038,0.141,0,2,126.398,1.008,7.579,14.806,0,0,5031102,19.179,37.495,0.663,0.01,8.289,0,1,0.276,0.332,0.039,488.796,3592368.33411651,3.59236833411651,138171.228826202,0.138171228826202
"54",53,761.188,2.584,42.501,0.068,0.381,0.01,0.383,0.037,0.076,0,2,211.499,1.008,16.438,16.131,0,1,5031102,42.71,42.211,0.875,0.013,8.244,0,1,0.309,0.348,0.048,476.955,3228163.89536974,3.22816389536974,92866.6607009568,0.092866660700957
"55",54,3047.264,5.967,48.688,0.055,0.375,0.023,0.585,0.047,0.112,0,2,134.283,1.009,16.93,19.335,0,0,5031102,27.325,34.548,0.888,0.025,12.649,0,1,0.303,0.303,0.066,453.039,9022139.53584226,9.02213953584226,382859.613863365,0.382859613863365
"56",55,3550.513,5.253,48.689,0.049,0.358,0.019,0.532,0.044,0.089,0,2,193.082,1.006,14.411,-9999,0,1,5031102,29.629,25.278,0.808,0.02,8.942,0,1,0.27,0.317,0.071,458.83,8541635.10015066,8.54163510015066,397803.753569572,0.397803753569572
"57",56,1078.883,2.383,59.649,0.014,0.322,0.007,0.329,0.034,0.028,1,1,271.234,1.054,265.32,56.327,0,1,5031708,815.472,170.105,0.331,0.003,0.694,1,1,0.337,0.092,0.06,326.797,4318823.8139504,4.3188238139504,226392.298279625,0.226392298279625
"58",57,3155.488,4.532,59.613,0.023,0.332,0.015,0.468,0.041,0.055,1,2,248.003,1.03,197.79,65.341,0,1,5031708,434.508,131.485,0.494,0.009,2.39,0,1,0.312,0.142,0.121,347.993,9016955.1021295,9.0169551021295,808357.131767448,0.808357131767448
"59",58,2488.503,100.751,56.304,0.006,0.395,0.514,2.788,0.114,0.03,0,4,222.155,1.157,88.423,109.203,2.343,1,5031101,31.59,39.076,0.506,0.161,18.343,1,1,0.26,0.126,0.559,410.127,1289749.03652366,1.28974903652366,429361.377511747,0.429361377511747
"60",59,1465.452,3.399,56.27,0.055,0.353,0.012,0.421,0.039,0.115,0,2,138.837,1.013,5.971,27.421,2.343,0,5031101,14.595,63.548,0.666,0.011,5.991,0,1,0.277,0.253,0.065,428.741,4429398.15031959,4.42939815031959,271099.304784435,0.271099304784435
"61",60,4022.741,3674.611,22.98,0.001,0.41,24.825,19.197,0.341,0.002,0,6,261.634,1.115,717.651,957.941,0,1,5031709,37.382,49.904,0.506,3.314,18.664,1,1,0.283,0.023,0.897,314.526,2455359.03336379,2.45535903336379,2455359.0333645,2.4553590333645
"62",61,4455.879,21.105,22.949,0.001,0.315,0.072,1.045,0.065,0.021,0,2,200.682,1.031,8.592,159.178,0,1,5031709,8.249,152.11,0.188,0.013,0.365,1,1,0.13,0.011,0.292,315.772,3690833.74155245,3.69083374155245,3069028.99449609,3.06902899449609
"63",62,664.264,13.405,13.128,0.008,0.335,0.048,0.858,0.058,0.018,0,3,212.572,1.015,17.115,98.251,0,1,5031103,19.962,114.453,0.415,0.021,1.687,1,1,0.211,0.022,0.27,354.746,125555.550041467,0.125555550041467,119983.458996269,0.119983458996269
"64",63,3304.482,3.673,13.027,0.03,0.334,0.012,0.415,0.039,0.069,0,3,152.396,1.024,30.934,59.287,0,1,5031103,85.434,144.896,0.569,0.009,2.858,0,1,0.223,0.067,0.111,386.593,7175120.33497414,7.17512033497414,635233.75653238,0.63523375653238
"65",63,3304.482,3.673,13.027,0.03,0.334,0.012,0.415,0.039,0.069,0,3,152.396,1.024,30.934,59.287,0,1,5031103,85.434,144.896,0.569,0.009,2.858,0,1,0.223,0.067,0.111,386.593,84.4411762553184,0.000084441176255,635233.75653238,0.63523375653238
"66",64,3885.914,6.427,54.561,0.014,0.332,0.022,0.567,0.046,0.059,1,3,229.441,1.049,39.038,93.191,0,1,5031708,61.386,160.131,0.376,0.009,1.804,0,1,0.313,0.086,0.102,335.202,9081283.86997554,9.08128386997554,781358.219848079,0.781358219848079
"67",65,5171.045,11.017,54.56,0,0.325,0.037,0.755,0.054,0.008,1,2,174.2,1.045,258.492,114.765,0,1,5031708,344.175,149.264,0.141,0.006,0,1,1,0.281,0.033,0,322.7,18160899.6333004,18.1608996333004,2022722.77762136,2.02272277762136
"68",66,1044.117,17.392,26.735,0.001,0.311,0.055,0.91,0.06,0.006,0,1,294.895,1.011,111.825,99.3,0,1,5031709,123.522,117.842,0.168,0.009,0.194,1,1,0.012,0.002,0.273,316.156,4199842.41669966,4.19984241669966,3976803.75583791,3.97680375583791
"69",67,12796.889,3639.291,26.778,0,0.411,24.65,19.129,0.341,0.002,0,6,213.385,1.142,1230.056,1068.587,0,1,5031709,64.291,55.858,0.483,3.15,6.417,1,1,0.285,0.028,0.895,316.761,13606261.182765,13.606261182765,12193669.7570662,12.1936697570662
"70",68,2412.376,6.146,13.74,0.019,0.335,0.021,0.553,0.045,0.038,0,2,197.531,1.008,113.663,59.017,0,1,5031103,208.789,112.797,0.519,0.013,2.405,1,1,0.228,0.072,0.167,374.777,5383341.72510925,5.38334172510925,521450.115928007,0.521450115928007
"71",69,2471.934,3.776,13.742,0.028,0.351,0.013,0.447,0.04,0.044,0,2,245.664,1.017,21.051,52.347,0,1,5031103,45.985,117.911,0.595,0.011,3.076,0,1,0.26,0.128,0.104,385.955,6914064.20695528,6.91406420695528,559727.085318765,0.559727085318765
"72",70,1306.873,2.527,58.746,0.087,0.374,0.009,0.379,0.037,0.124,0,2,316.553,1.007,18.209,18.609,2.343,0,5031101,47.632,48.838,0.728,0.01,8.472,0,1,0.263,0.241,0.029,465.857,3276432.04762944,3.27643204762943,162161.196779077,0.162161196779077
"73",71,3932.741,88.564,58.796,0.008,0.4,0.456,2.627,0.11,0.031,0,4,235.239,1.111,140.335,42.273,2.343,1,5031101,53.668,16.108,0.596,0.173,21.761,1,1,0.26,0.255,0.537,433.593,4001850.76876897,4.00185076876897,533219.028585673,0.533219028585673
"74",72,210.208,96.599,58.594,0,0.397,0.484,2.705,0.112,0.03,0,4,269.73,1.336,19.733,40.908,2.343,1,5031101,7.3,15.133,0.236,0.072,0,1,1,0.26,0.129,0.549,418.996,6076.20191446404,0.006076201914464,6076.20191454134,0.006076201914541
"75",73,656.985,5.552,58.637,0.034,0.357,0.021,0.561,0.046,0.048,0,2,157.75,1.014,9.351,38.78,2.343,1,5031101,16.652,68.941,0.723,0.019,6.4,0,1,0.254,0.201,0.097,427.782,399456.290453067,0.399456290453067,79367.8704383996,0.0793678704384
"76",74,7764.382,3702.128,15.662,0,0.409,24.966,19.251,0.342,0.002,0,6,207.218,1.16,263.824,376.101,0,1,5031709,13.705,19.539,0.494,3.254,11.737,1,1,0.281,0.054,0.893,312.296,23934983.8931532,23.9349838931532,5208967.42260379,5.20896742260379
"77",75,514.558,2.709,15.616,0.02,0.323,0.008,0.35,0.035,0.03,0,1,263.77,1.033,130.763,70.146,0,1,5031709,381.544,204.725,0.429,0.005,1.118,1,1,0.181,0.068,0.117,313.739,3410908.46609696,3.41090846609696,318783.664202121,0.318783664202121
"78",76,853.675,2.561,59.254,0.068,0.357,0.009,0.369,0.036,0.095,0,2,136.467,1.007,6.138,18.136,2.343,1,5031101,16.684,49.197,0.755,0.01,6.583,0,1,0.264,0.295,0.047,465.191,2903014.1260456,2.9030141260456,112715.958519579,0.112715958519579
"79",77,1040.832,2.321,59.255,0.117,0.36,0.008,0.353,0.035,0.197,0,1,194.869,1.007,7.542,18.815,10.313,0,5031101,21.451,53.264,0.721,0.009,10.679,0,1,0.233,0.304,0.009,497.552,2824859.481642,2.824859481642,125386.728155151,0.125386728155151
"80",78,7411.808,3736.297,0,0,0.408,25.146,19.32,0.343,0.002,0,6,233.978,1.318,451.752,627.224,0,1,0,23.385,32.466,0.467,3.095,9.586,1,1,0.28,0.021,0.896,307.983,7392530.54268864,7.39253054268864,4791038.53871437,4.79103853871437
"81",79,1620.097,12.662,27.124,0,0.313,0.041,0.795,0.056,0.021,1,2,201.318,1.063,99.302,110.336,0,1,5031709,126.352,138.393,0.144,0.006,0,1,1,0.137,0.014,0.14,317.076,679166.028385159,0.679166028385159,679166.028384303,0.679166028384303
"82",80,1132.462,4.053,27.121,0.001,0.32,0.012,0.431,0.039,0.021,1,1,141.354,1.059,188.222,88.831,0,1,5031709,450.919,204.449,0.128,0.002,0.029,1,1,0.175,0.049,0.095,317.198,4792797.96433901,4.79279796433901,631833.0413246,0.6318330413246
"83",81,2822.082,3.599,62.425,0.076,0.381,0.014,0.46,0.041,0.112,0,1,247.873,1.011,13.446,23.924,2.343,0,5031101,28.619,51.204,0.79,0.015,10.831,0,1,0.275,0.24,0.055,535.778,5724997.61366052,5.72499761366052,335411.893150104,0.335411893150104
"84",82,957.046,80.475,62.413,0.015,0.404,0.414,2.505,0.107,0.031,0,4,250.261,1.038,366.195,62.889,2.343,1,5031101,146.004,25.125,0.854,0.23,36.255,1,1,0.26,0.217,0.502,455.655,550318.792909684,0.550318792909684,160772.014016723,0.160772014016723
"85",83,3207.265,4.535,65.5,0.057,0.377,0.018,0.514,0.044,0.102,0,2,310.55,1.016,12.454,23.556,2.343,0,5031101,23.537,45.811,0.8,0.018,9.985,0,1,0.215,0.231,0.067,563.037,6684901.89651578,6.68490189651578,332045.297102493,0.332045297102493
"86",84,1205.538,48.924,65.51,0.017,0.425,0.264,2,0.095,0.04,0,3,253.45,1.038,139.437,37.203,2.343,1,5031101,69.822,18.594,0.828,0.157,29.431,0,1,0.267,0.314,0.411,503.757,1112577.72446308,1.11257772446308,161955.44007424,0.16195544007424
"87",85,997.046,61.749,63.509,0.017,0.414,0.326,2.222,0.1,0.033,0,3,265.777,1.037,179.845,77.117,2.343,1,5031101,80.912,34.69,0.827,0.185,39.995,1,1,0.263,0.166,0.41,472.344,561611.515755026,0.561611515755026,185007.886407681,0.185007886407681
"88",86,6085.067,9.154,63.511,0.035,0.384,0.038,0.737,0.053,0.085,0,3,222.957,1.021,9.686,34.248,2.343,1,5031101,14.095,44.302,0.767,0.03,9.491,0,1,0.26,0.253,0.134,540.053,13692123.1089817,13.6921231089817,785321.973391615,0.785321973391615
"89",87,2871.639,3.665,8.574,0.002,0.322,0.011,0.416,0.039,0.021,1,2,277.114,1.041,67.418,88.151,0,1,5031709,157.99,212.574,0.145,0.002,0.09,1,1,0.139,0.023,0.148,311.047,3593439.94681336,3.59343994681336,1070863.19534538,1.07086319534538
"90",88,2440.513,11.855,8.549,0.002,0.323,0.039,0.775,0.055,0.014,1,3,231.045,1.049,184.542,130.554,0,1,5031709,238.042,168.089,0.192,0.008,0.341,1,1,0.177,0.038,0.201,311.643,2225119.80924656,2.22511980924656,1103610.65616901,1.10361065616901
"91",89,205.208,77.134,63.314,0.011,0.406,0.402,2.466,0.106,0.031,0,4,279.94,1.061,16.651,72.479,2.343,1,5031101,6.755,29.39,0.735,0.193,22.386,1,1,0.261,0.111,0.524,463.467,133738.008138234,0.133738008138234,38060.658645537,0.038060658645537
"92",90,944.828,2.317,63.271,0.083,0.357,0.008,0.351,0.035,0.118,0,2,150.749,1.009,5.92,18.169,2.343,0,5031101,16.811,51.237,0.695,0.009,6.935,0,1,0.236,0.268,0.01,492.69,3140431.5965815,3.1404315965815,129513.226232741,0.129513226232741
"93",91,3199.152,4.069,64.438,0.068,0.382,0.016,0.492,0.043,0.109,0,2,239.085,1.017,6.819,29.459,2.343,0,5031101,14.038,57.686,0.792,0.017,10.936,0,1,0.269,0.242,0.06,560.488,6107419.29799383,6.10741929799383,367734.991335419,0.367734991335419
"94",92,1205.685,56.368,64.409,0.014,0.418,0.297,2.124,0.098,0.039,0,3,286.845,1.038,27.644,60.178,2.343,1,5031101,12.947,28.288,0.736,0.153,27.833,1,1,0.263,0.304,0.428,487.08,758165.540075194,0.758165540075194,144628.722331996,0.144628722331996
